"response","ROW_NUM","abd","latitude","longitude","elev","Barren.PLAND","Evergreen.Needleleaf.Forests.PLAND","Evergreen.Broadleaf.Forests.PLAND","Deciduous.Needleleaf.Forests.PLAND","Deciduous.Broadleaf.Forests.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND","Mixed.Broadleaf.Evergreen.Deciduous.Forests.PLAND","Open.Forests.PLAND","Sparse.Forests.PLAND","Dense.Herbaceous.PLAND","Sparse.Herbaceous.PLAND","Dense.Shrublands.PLAND","Shrubland.Grassland.Mosaics.PLAND","Sparse.Shrublands.PLAND","Urban.PLAND","Forest.Cropland.Mosaics.PLAND","Natural.Herbaceous.Croplands.Mosaics.PLAND","Herbaceous.Croplands.PLAND","Woody.Wetlands.PLAND","Herbaceous.Wetlands.PLAND","weights"
-1.67001151282593,258766,4.40579974902207e-05,48.63340265,-119.4201076,911,0,4.280618312,0,0,0,0,0,36.41498216,3.953626635,55.35077289,0,0,0,0,1.040428062,0,0,0.029726516,0,0,0.000251530607168772
-1.22519530992862,260265,0.000172435215230012,48.39359629,-119.9396724,876,0,2.688486265,0,0,0,0,0,17.27060199,8.474576271,71.50789012,0.058445354,0,0,0,0.321449445,0,0,0.146113384,0,0,0.000953295543347331
-4.68228783216749,261765,0.000850941174086513,48.15378993,-120.0969963,798,0.267538644,10.85017836,0,0,0,0.029726516,0,9.096313912,10.13674197,65.1902497,4.280618312,0,0,0,0.802615933,0,0,1.159334126,0,0.713436385,0.00320053360162962
-10.7165293355667,261766,0.0376806067731044,48.15378993,-119.7375387,675,0.233781414,1.110461718,0,0,0,0,0,1.957919345,3.945061368,90.82407949,0.73056692,0,0,0,0.847457627,0,0,4.821741672,0,1.110461718,0.226442787216199
-4.15165172991275,261767,0.0444307224054966,48.15378993,-119.3780812,697,0.118906064,0.475624257,0,0,0,0,0,0.178359096,0.326991677,98.81093936,0.089179548,0,0,0,0.356718193,0,0,0.118906064,0,0,0.152377762790264
-3.8735028722151,261768,0.00141417352594301,48.15378993,-119.0186236,735,0.713436385,4.964328181,0,0,0,0,0,13.40665874,11.23662307,69.08442331,0.386444709,0,0,0,0,0,0,0,0,0.267538644,0.0088276223101686
0.232254616633008,263264,0.000198511678555272,47.91398357,-120.6127391,1306,0,41.58386908,0,0,0.526008182,0.613676213,0,11.68907072,5.727644652,37.81414378,2.045587376,0,0,0,0,0,0,0,0,0.116890707,0.00232464393018717
-5.43806252189254,263265,0.000606243909401355,47.91398357,-120.2549505,973,0.743162901,6.866825208,0,0,0,0,0,12.36623068,8.501783591,64.20927467,2.824019025,0,0,0,0.832342449,0,0,0.118906064,0,3.032104637,0.00254742890060341
-11.3710833238389,263266,0.0333601982228275,47.91398357,-119.897162,754,1.081239041,0.146113384,0,0,0,0,0,0.964348334,1.46113384,93.54178843,0.81823495,0,0,0,0.263004091,0,0,4.266510812,0,0.292226768,0.128119653804523
-9.13226592919306,263267,0.175401627256025,47.91398357,-119.5393734,660,1.12960761,0,0,0,0,0,0,0,0.386444709,96.22473246,0.921521998,0,0,0,0.683709869,0,0,2.526753864,0,0.208085612,1.1174061184066
