"response","ROW_NUM","abd","latitude","longitude","elev","Barren.PLAND","Evergreen.Needleleaf.Forests.PLAND","Evergreen.Broadleaf.Forests.PLAND","Deciduous.Needleleaf.Forests.PLAND","Deciduous.Broadleaf.Forests.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND","Mixed.Broadleaf.Evergreen.Deciduous.Forests.PLAND","Open.Forests.PLAND","Sparse.Forests.PLAND","Dense.Herbaceous.PLAND","Sparse.Herbaceous.PLAND","Dense.Shrublands.PLAND","Shrubland.Grassland.Mosaics.PLAND","Sparse.Shrublands.PLAND","Urban.PLAND","Forest.Cropland.Mosaics.PLAND","Natural.Herbaceous.Croplands.Mosaics.PLAND","Herbaceous.Croplands.PLAND","Woody.Wetlands.PLAND","Herbaceous.Wetlands.PLAND","weights","fit.s.Barren.PLAND.","fit.s.Evergreen.Needleleaf.Forests.PLAND.","fit.s.Mixed.Broadleaf.Needleleaf.Forests.PLAND.","fit.s.Open.Forests.PLAND.","fit.s.Sparse.Forests.PLAND.","fit.s.Dense.Herbaceous.PLAND.","fit.s.Sparse.Herbaceous.PLAND.","fit.s.Shrubland.Grassland.Mosaics.PLAND.","fit.s.Sparse.Shrublands.PLAND.","fit.s.Urban.PLAND.","fit.s.Herbaceous.Croplands.PLAND.","fit.s.Herbaceous.Wetlands.PLAND.","fit.s.elev.","fit.s.longitude.latitude.","se.fit.s.Barren.PLAND.","se.fit.s.Evergreen.Needleleaf.Forests.PLAND.","se.fit.s.Mixed.Broadleaf.Needleleaf.Forests.PLAND.","se.fit.s.Open.Forests.PLAND.","se.fit.s.Sparse.Forests.PLAND.","se.fit.s.Dense.Herbaceous.PLAND.","se.fit.s.Sparse.Herbaceous.PLAND.","se.fit.s.Shrubland.Grassland.Mosaics.PLAND.","se.fit.s.Sparse.Shrublands.PLAND.","se.fit.s.Urban.PLAND.","se.fit.s.Herbaceous.Croplands.PLAND.","se.fit.s.Herbaceous.Wetlands.PLAND.","se.fit.s.elev.","se.fit.s.longitude.latitude."
-1.67001151282593,258766,4.40579974902207e-05,48.63340265,-119.4201076,911,0,5.49940547,0,0,0,0,0,35.22592152,3.299643282,55.97502973,0,0,0,0,1.040428062,0,0,0.059453032,0,0,0.000251530607168772,5.03376209143406e-05,-1.88182572765328e-06,-4.60946789128428e-08,0.211987802646832,-0.00729523976430915,0.100538983382739,0.192800686398436,0.550131266797233,0.480834728589587,-6.10544321667066e-06,0.528432757901004,1.30428169781638e-05,-1.17814080698886,-2.27972522339102,0.275891926712472,0.275901662242905,0.275891674848915,0.417265303567598,0.275270221190515,0.279625042634154,0.268768015152364,0.221537201688401,0.250345058263211,0.275899654380436,0.263957384395278,0.275897693883436,0.359184243392638,0.512477960854877
-1.22519530992862,260265,0.000172435215230012,48.39359629,-119.9396724,876,0,7.013442431,0,0,0,0,0,22.4137931,11.07539451,59.49736996,0,0,0,0,0.321449445,0,0,0.175336061,0,0,0.000953295543347331,5.03376209143406e-05,-2.17452539385831e-06,-4.60946789128428e-08,0.183886594077587,0.00635690504788877,0.0899855676969635,0.192800686398436,0.550131266797233,0.480834728589587,-9.01283787978363e-06,0.527718900677959,1.30428169781638e-05,-1.36173529511913,-2.33007517960133,0.275891926712472,0.275902188339079,0.275891674848915,0.356896247053479,0.276781704148006,0.282046024618233,0.268768015152364,0.221537201688401,0.250345058263211,0.275899503658653,0.263945891198744,0.275897693883436,0.369004014361199,0.508359551648481
-4.68228783216749,261765,0.000850941174086513,48.15378993,-120.0969963,798,0.237812128,17.33055886,0,0,0,0,0,10.99881094,8.917954816,58.73959572,3.626634958,0,0,0,0.802615933,0,0,1.397146254,0,0.564803805,0.00320053360162962,5.00767012844091e-05,-1.32984434338647e-06,-4.60946789128428e-08,0.077488315442644,0.0038900167276565,0.092178352570513,0.185965575954245,0.550131266797233,0.480834728589587,-7.3005334206649e-06,0.488146239067587,-4.3271131036001e-06,-1.79218699123727,-2.32076029532885,0.275891925460134,0.275905706597599,0.275891674848915,0.30673238922567,0.276359804277162,0.281507260659436,0.268204954907233,0.221537201688401,0.250345058263211,0.275899522182314,0.263598699005336,0.275901419853336,0.393135928363566,0.4999474283051
-10.7165293355667,261766,0.0376806067731044,48.15378993,-119.7375387,675,0.350672122,2.045587376,0,0,0,0,0,2.542372881,4.763296318,88.04792519,1.022793688,0,0,0,0.847457627,0,0,4.412624196,0,0.935125658,0.226442787216199,4.97707951884402e-05,4.96103807348812e-07,-4.60946789128428e-08,-0.116021872764188,-0.00394092702443608,0.166568173210131,0.192224582688385,0.550131266797233,0.480834728589587,-7.08803035554281e-06,0.280443189959914,-1.22084793203114e-05,-2.47606117802041,-2.30678725707204,0.275891924069692,0.275900087944414,0.275891674848915,0.257168808008668,0.275476671868812,0.305052012025385,0.268715817322057,0.221537201688401,0.250345058263211,0.275899539150983,0.269228473933301,0.275906292591859,0.424295342971937,0.494213495818266
-4.15165172991275,261767,0.0444307224054966,48.15378993,-119.3780812,697,0.14863258,0.564803805,0,0,0,0,0,0.237812128,0.297265161,98.63258026,0.118906064,0,0,0,0.356718193,0,0,0.089179548,0,0,0.152377762790264,5.02357213271899e-05,1.69003614706257e-06,-4.60946789128428e-08,-0.15046397149448,-0.0120716098910814,0.207873862554564,0.192787144794352,0.550131266797233,0.480834728589587,-8.93209987196801e-06,0.528309927995991,1.30428169781638e-05,-2.35835921203269,-2.24485646844878,0.275891926215287,0.275899899227669,0.275891674848915,0.256032027689603,0.275210533586516,0.314373037749045,0.268766765535415,0.221537201688401,0.250345058263211,0.275899499404096,0.263955393965919,0.275897693883436,0.420817145238896,0.491900339010982
-3.8735028722151,261768,0.00141417352594301,48.15378993,-119.0186236,735,0.594530321,4.161712247,0,0,0,0,0,10.22592152,13.43638526,70.86801427,0.445897741,0,0,0,0,0,0,0,0,0.237812128,0.0088276223101686,4.87938731770985e-05,-1.25705845268321e-06,-4.60946789128428e-08,0.0634101944439831,0.00776934635288574,0.0821649153720728,0.192678967389013,0.550131266797233,0.480834728589587,-9.36789602530738e-06,0.528522556705733,8.4566538836746e-06,-2.14772353661055,-2.15226322645502,0.275891920125578,0.275901065653238,0.275891674848915,0.302396028572377,0.27718185682204,0.289374059523543,0.268756846499057,0.221537201688401,0.250345058263211,0.275899528888495,0.263958842678591,0.275897877849416,0.412318858947469,0.492338540118024
0.232254616633008,263264,0.000198511678555272,47.91398357,-120.6127391,1306,0,42.60666277,0,0,0.379894798,0.467562829,0,13.20864991,6.75043834,35.21332554,1.373465809,0,0,0,0,0,0,0,0,0.029222677,0.00232464393018717,5.03376209143406e-05,-5.46331814867521e-07,1.09312132250072e-06,0.110493550823727,0.000303409768129253,0.0658043468231779,0.191782202273499,0.550131266797233,0.480834728589587,-9.36789602530738e-06,0.528522556705733,1.29858699547653e-05,-0.112214389679471,-2.24840607194757,0.275891926712472,0.275914597643907,0.275913263619694,0.316425137567797,0.27589270460006,0.274660107809737,0.268676577261226,0.221537201688401,0.250345058263211,0.275899528888495,0.263958842678591,0.275897692576193,0.284517689372533,0.495838849083721
-5.43806252189254,263265,0.000606243909401355,47.91398357,-120.2549505,973,0.772889417,14.4470868,0,0,0,0,0,8.115338882,5.410225922,64.71462545,1.991676576,0,0,0,0.802615933,0,0,0.416171225,0,2.55648038,0.00254742890060341,4.7814262577235e-05,-1.63866224032545e-06,-4.60946789128428e-08,0.0185827220868881,-0.00248184038787398,0.0795752620325046,0.190698094786773,0.550131266797233,0.480834728589587,-7.3005334206649e-06,0.524026498196084,-7.40296790367781e-06,-0.88533811307844,-2.28960014031279,0.275891916909416,0.275904740615939,0.275891674848915,0.287972929750972,0.275602138113188,0.285582826440895,0.268582761454718,0.221537201688401,0.250345058263211,0.275899522182314,0.263889409933646,0.275922832869092,0.342804765373568,0.491809673225465
-11.3710833238389,263266,0.0333601982228275,47.91398357,-119.897162,754,1.168907072,2.367036821,0,0,0,0,0,0.672121566,2.133255406,91.29164231,0.409117475,0,0,0,0.263004091,0,0,3.243717124,0,0.350672122,0.128119653804523,4.49173226507553e-05,1.92570885096369e-07,-4.60946789128428e-08,-0.147464455250357,-0.00972644890207665,0.184445797581692,0.192696479019623,0.550131266797233,0.480834728589587,-9.1310926765954e-06,0.370537904029391,4.07245412483983e-06,-2.04087117163393,-2.29539387862762,0.275891911604731,0.275900199749317,0.275891674848915,0.255971751104186,0.275202847889813,0.308826104202299,0.268758446711996,0.221537201688401,0.250345058263211,0.275899510874372,0.265520185441914,0.275898594668303,0.407111330994577,0.484058999746971
-9.13226592919306,263267,0.175401627256025,47.91398357,-119.5393734,660,1.218787158,0.029726516,0,0,0,0,0,0.059453032,0.237812128,95.71938169,1.337693222,0,0,0,0.683709869,0,0,2.645659929,0,0.059453032,1.1174061184066,4.44840438579056e-05,1.84239511532141e-06,-4.60946789128428e-08,-0.150906058554698,-0.0120932422332604,0.202267945197012,0.191833776644367,0.550131266797233,0.480834728589587,-7.82126552599097e-06,0.41338060404167,1.2750761858618e-05,-2.55379264877171,-2.24740495316739,0.275891911347583,0.275899905005416,0.275891674848915,0.256043597021267,0.27521095437893,0.312967417770049,0.268681119389868,0.221537201688401,0.250345058263211,0.275899493443752,0.264371216865893,0.275897688139164,0.425996686812357,0.479907974459565
